id,name,surname,party,alliance,political_stance,isMilletvekili,bsky_handle,did,verified,displayName
578,Müjde,Ar,Cumhuriyet Halk Partisi,Millet İttifakı,Liberal,False,mujdegulkaraca.bsky.social,did:plc:zrpe7rcs3oh6qc7off4wuppz,True,Dr. Müjdegül Zayıfoğlu Karaca
570,Miray,Daner,Bağımsız,,Apolitik,False,portalmiraydaner.bsky.social,did:plc:3vwnv7q7mv2tmlvzq2vwkw42,True,Portal Miray Daner
569,Ayça,Ayşin Turan,Bağımsız,,Apolitik,False,portalaycabr.bsky.social,did:plc:cvfaomi5crljobyw6gwynlab,True,Ayça Ayşin Turan Brasil
552,Pınar,Deniz,Cumhuriyet Halk Partisi,Millet İttifakı,Liberal,False,pdenizbrasil.bsky.social,did:plc:pnkhq4zx3x3wfqvqfpuigh57,True,Pinar Deniz Brasil
549,Afra,Saraçoğlu,Bağımsız,,Apolitik,False,afrasaracoglubr.bsky.social,did:plc:wpvnzron3fcj5cerszrk2avd,True,Afra Saraçoğlu Brasil 
527,İhsan,Dağı,Cumhuriyet Halk Partisi,Millet İttifakı,Liberal,False,ihsandagi.bsky.social,did:plc:guppolkooviyq75ddtc7tcob,True,İhsan Dağı
520,Rüşen,Çakır,Cumhuriyet Halk Partisi,Millet İttifakı,Liberal,False,rusencakir.bsky.social,did:plc:35m6hvcaaq7hg5ecthfyfmmo,True,Ruşen Çakır
517,Ersin,Tatar,Bağımsız,,Milliyetçi,False,ersintatarr.bsky.social,did:plc:cs3ss2ugrsqkpoziatrsu5nf,True,Ersin Tatar
515,Hakan,Fidan,Adalet ve Kalkınma Partisi,Cumhur İttifakı,Muhafazakar,False,hakanfidan.bsky.social,did:plc:y6jihhg7oyxycteym74xvpub,True,Hakan Fidan (Fan)
502,Ece,Üner,Cumhuriyet Halk Partisi,Millet İttifakı,Liberal,False,eceuner.bsky.social,did:plc:6ic5uctiitembdgxutu6gb5q,True,Ece Üner
