iter	MultiClass
0	1.788135346
1	1.661702217
2	1.572834558
3	1.489809476
4	1.427197045
5	1.371002621
6	1.327253596
7	1.293322178
8	1.2562777
9	1.21848541
10	1.193489891
11	1.161452843
12	1.139501895
13	1.11474917
14	1.095612672
15	1.075776768
16	1.053313263
17	1.035315321
18	1.014836152
19	0.9989426951
20	0.9831125118
21	0.9758353862
22	0.9635569389
23	0.9561813346
24	0.9428207175
25	0.9368612722
26	0.9317435315
27	0.9249076003
28	0.9175004929
29	0.9109718051
30	0.90632734
31	0.9015585736
32	0.8951526368
33	0.8876824853
34	0.8809598436
35	0.8735182634
36	0.8725173416
37	0.8683063959
38	0.8653095039
39	0.8640726199
40	0.8612514234
41	0.8602871632
42	0.857452883
43	0.8570147862
44	0.853158159
45	0.8506727655
46	0.8488790287
47	0.8477825753
48	0.8470252845
49	0.8424258192
50	0.842006342
51	0.8414029999
52	0.8363392402
53	0.8333975004
54	0.8317345646
55	0.8305632882
56	0.8289363544
57	0.8279857627
58	0.8274282496
59	0.8270246647
60	0.8234427149
61	0.8213840679
62	0.8198390595
63	0.8187519672
64	0.8175237386
65	0.8153950422
66	0.8137936787
67	0.8108174198
68	0.8095868165
69	0.8075915625
70	0.8040929253
71	0.8028088312
72	0.8021732329
73	0.797418446
74	0.7966901136
75	0.7959164616
76	0.7952628094
77	0.7933530485
78	0.7930857578
79	0.7922909345
80	0.7909979889
81	0.7889814206
82	0.788646788
83	0.7876889469
84	0.7872790181
85	0.7855590717
86	0.785158248
87	0.784652373
88	0.7837815657
89	0.7832645786
90	0.7829675943
91	0.7821544164
92	0.7813159553
93	0.7796017039
94	0.7745688525
95	0.7739411711
96	0.7732428297
97	0.7727582446
98	0.7712898298
99	0.7708261247
100	0.7703454517
101	0.7698483896
102	0.7682123454
103	0.7676258702
104	0.7670878034
105	0.7662911939
106	0.7649872546
107	0.7641937469
108	0.7633337222
109	0.7616590912
110	0.7593037895
111	0.7587019177
112	0.7583630532
113	0.7576266091
114	0.7565248648
115	0.7559928084
116	0.7538426958
117	0.7523148743
118	0.7508008353
119	0.749842456
120	0.7488097771
121	0.7473354848
122	0.7458303675
123	0.7448212769
