iter	MultiClass
124	0.7439821864
125	0.7407870672
126	0.7395639145
127	0.7369638803
128	0.7362951777
129	0.7330133102
130	0.7323721048
131	0.7280145986
132	0.7272820138
133	0.7257300882
134	0.7251765554
135	0.7229406466
136	0.7215701959
137	0.7204261242
138	0.7189334001
139	0.715773939
140	0.7141465202
141	0.713489225
142	0.7117581201
143	0.7102554016
144	0.7082750585
145	0.7067429273
146	0.7051416821
147	0.7034584854
148	0.7021385905
149	0.7000333149
150	0.6992551036
151	0.6973944441
152	0.6965267503
153	0.6953241318
154	0.6926084209
155	0.6903945522
156	0.6883545818
157	0.6851089147
158	0.6835243477
159	0.6825533776
160	0.6811110585
161	0.6798185872
162	0.6788053651
163	0.6779627644
164	0.6772632081
165	0.6762480928
166	0.6743498149
167	0.6734079742
168	0.6709131085
169	0.6698517466
170	0.6681351173
171	0.6667121802
172	0.6663201252
173	0.6645662748
174	0.6638862218
175	0.6626677994
176	0.6619515531
177	0.660524861
178	0.6595360517
179	0.659087511
180	0.6579804403
181	0.6566420158
182	0.6544084319
183	0.6539949988
184	0.6533485149
185	0.6526114859
186	0.6500145712
187	0.6497586354
188	0.6489060097
189	0.6475676805
190	0.6470883356
191	0.6465229521
192	0.6452496223
193	0.6438019076
194	0.6433878087
195	0.6423495635
196	0.6414899773
197	0.6399007198
198	0.639186235
199	0.6378968486
200	0.6366589418
201	0.6360519477
202	0.6354116333
203	0.6336041141
204	0.6330296221
205	0.6327080701
206	0.6308367503
207	0.6288670996
208	0.6270126177
209	0.6259462052
210	0.6240482974
211	0.6232929101
212	0.6229965289
213	0.6224275286
214	0.6216294007
215	0.6208757895
216	0.6196561233
217	0.6175348903
218	0.6170791367
219	0.6158807788
220	0.6155298592
221	0.6145760348
222	0.6142937331
223	0.6134831799
224	0.6123294587
225	0.6115501831
226	0.6104358899
227	0.6084778569
228	0.6067221395
229	0.6060047832
230	0.6050990613
231	0.6045297437
232	0.6035472795
233	0.6030931056
234	0.6023166322
235	0.6020176692
236	0.6015314836
237	0.6010198424
238	0.6006088849
239	0.6003386555
240	0.598960518
241	0.5971955306
242	0.5967094905
243	0.596163351
244	0.5955501333
245	0.5952641587
246	0.5946317506
247	0.5943868294
248	0.593870453
249	0.5936345797
250	0.5925856889
251	0.5919042111
252	0.5909037072
253	0.5898812138
254	0.5878811589
255	0.5866551747
256	0.5857067461
257	0.5852693657
258	0.584808685
259	0.5836377874
260	0.5827164813
261	0.5820053995
262	0.5814155277
263	0.5811979387
264	0.5808912251
265	0.5801430306
266	0.5795287952
267	0.5791442354
268	0.5786673593
269	0.5784620762
270	0.5780664849
271	0.5765772913
272	0.5759422211
273	0.5750137813
274	0.5747400766
275	0.5738318022
276	0.572897211
277	0.5727172824
278	0.5719759982
279	0.5715239097
280	0.570810951
281	0.5701836016
282	0.5696654661
283	0.5685224066
284	0.5682130405
285	0.5667165962
286	0.5659952197
287	0.5654626522
288	0.564780506
289	0.5639443915
290	0.5634388029
291	0.5630554973
292	0.562462338
293	0.5617442159
294	0.5612829696
295	0.5609871683
296	0.5607500189
297	0.5600476664
298	0.5595605634
299	0.5591738318
300	0.558734116
301	0.5580308011
302	0.5568259295
303	0.5562142298
304	0.5557364581
305	0.5553391612
306	0.5549962333
307	0.5547664654
308	0.5544360181
309	0.5538784433
310	0.5534240221
311	0.5531893052
312	0.5525093325
313	0.5520951601
314	0.5518544631
315	0.5515713681
316	0.5506571524
317	0.5503930753
318	0.5501500659
319	0.5499323131
320	0.5492431552
321	0.5487687725
322	0.5480144891
323	0.5476404183
324	0.5473935011
325	0.5470815155
326	0.5464757853
327	0.5455991728
328	0.5452322677
329	0.5446731281
330	0.5442012251
331	0.5434432528
332	0.5432597942
333	0.5428462405
334	0.5419309092
335	0.5415137506
336	0.5410872457
337	0.5405106574
338	0.5401898587
339	0.5395092474
340	0.5390145463
341	0.53843398
342	0.537899171
343	0.5372818599
344	0.5369606502
345	0.536656488
346	0.536302561
347	0.5357422705
348	0.5350903301
349	0.5344582912
350	0.5339506846
351	0.5334039091
352	0.5329233984
353	0.5327285153
354	0.5322408927
355	0.5312152386
356	0.5305434506
357	0.5297584121
358	0.5294744439
359	0.5291169291
360	0.5287559628
361	0.5277341089
362	0.5271740985
363	0.5258205836
364	0.5251014683
365	0.5249586961
366	0.5245705382
367	0.5235142416
368	0.5225557348
369	0.5222940268
370	0.522109486
371	0.5217220916
372	0.5215315523
373	0.5210738244
374	0.5207460814
375	0.5201808531
376	0.5198337873
377	0.519227277
378	0.5187287697
379	0.5183313744
380	0.5180981634
381	0.5177696322
382	0.5170199541
383	0.5167683399
384	0.5162967461
385	0.5157475028
386	0.5155930922
387	0.5153206393
388	0.5144804999
389	0.5141224975
390	0.5138688299
391	0.5126494416
392	0.5123083865
393	0.5114675651
394	0.5111867197
395	0.5107644341
396	0.5101359898
397	0.5098104694
398	0.5096182225
399	0.5083982646
400	0.5081576544
401	0.5079496866
402	0.5076396188
403	0.5072142559
404	0.5068001973
405	0.5065524799
406	0.5062700388
407	0.5060144748
408	0.5055579849
409	0.5052685709
410	0.5049562923
411	0.5046867601
412	0.5043564459
413	0.5040758892
414	0.5034362675
415	0.5025597193
416	0.5023512139
417	0.5020743949
418	0.501791868
419	0.5013017117
420	0.5003586432
421	0.4997304823
422	0.4989734652
423	0.498453009
424	0.4983228375
425	0.4980051731
426	0.4975545594
427	0.497224221
428	0.4970754523
429	0.4965603213
430	0.4961773745
431	0.4956103077
432	0.4952884949
433	0.4949493966
434	0.4945642993
435	0.4938686259
436	0.4933764372
437	0.4926061929
438	0.492384562
439	0.4922280377
440	0.4920895354
441	0.4918491987
442	0.4916489479
443	0.4909751827
444	0.490711887
445	0.4903328894
446	0.4901546766
447	0.4898388374
448	0.4895926486
449	0.4887633844
450	0.4883646054
451	0.4879071852
452	0.4873706156
453	0.4871113011
454	0.4867834283
455	0.4862839943
456	0.4859349209
457	0.4856200503
458	0.4853253595
459	0.4848504969
460	0.4845577696
461	0.4841887156
462	0.4838099406
463	0.4836734256
464	0.4835109815
465	0.4833325753
466	0.4828928509
467	0.4824220399
468	0.4821195303
469	0.4818334813
470	0.4814657947
471	0.4810725614
472	0.4807069539
473	0.4804141958
474	0.4801646823
475	0.4798632922
476	0.4794404352
477	0.478996773
478	0.4787102441
479	0.478459807
480	0.4781302631
481	0.4778360389
482	0.4775441381
483	0.4769194903
484	0.4765985727
485	0.4764285178
486	0.4757768521
487	0.475359349
488	0.47501054
489	0.4745967737
490	0.4742338254
491	0.4737839747
492	0.4734045613
493	0.4730561601
494	0.4728669774
495	0.4726931187
496	0.4722619959
497	0.4720852536
498	0.4717248767
499	0.4716063539
500	0.4713854299
501	0.4712007768
502	0.4709838725
503	0.4707627298
504	0.4706300337
505	0.4704609965
506	0.4702286692
507	0.4700961705
508	0.4697721005
509	0.469139364
510	0.4688662976
511	0.4685584476
512	0.4682769409
513	0.4675458895
514	0.4672602871
515	0.4670667751
516	0.4669795631
517	0.4666471639
518	0.4664588212
519	0.4661396198
520	0.4658359389
521	0.4656239576
522	0.4653363493
523	0.4652332756
524	0.4650612453
525	0.4648139397
526	0.4643105801
527	0.4639804474
528	0.4637661825
529	0.4636147419
530	0.4631941197
531	0.4625955251
532	0.4622309726
533	0.4619941718
534	0.4616810487
535	0.4613850435
536	0.4611669162
537	0.4607110401
538	0.4604185829
539	0.4599458727
540	0.4596753731
541	0.4591040967
542	0.4585990965
543	0.4581150708
544	0.4572825768
545	0.4570873724
546	0.4569310105
547	0.4566968895
548	0.4564132648
549	0.4563009119
550	0.45583168
551	0.4554770148
552	0.4552613488
553	0.4550275031
554	0.454819907
555	0.4545440866
556	0.4543320822
557	0.4534767568
558	0.4532341014
559	0.4527659304
560	0.4524984112
561	0.4522854731
562	0.4521593156
563	0.4518833864
564	0.4516600564
565	0.4514630762
566	0.4512008502
567	0.4510144898
568	0.4500591555
569	0.4497080893
570	0.4489531488
571	0.4487101619
572	0.4483721954
573	0.4482442575
574	0.4479672843
575	0.4477945256
576	0.4474963711
577	0.447251065
578	0.4470892218
579	0.446832131
580	0.4467231551
581	0.4465462265
582	0.4463579032
583	0.4461351802
584	0.445839392
585	0.4456160656
586	0.4453195601
587	0.4447150583
588	0.4444892575
589	0.4443471176
590	0.4439383796
591	0.4437391596
592	0.4434433189
593	0.4431842325
594	0.4429859006
595	0.4428376136
596	0.442743676
597	0.4422425688
598	0.4420802534
599	0.4418774984
